name,price,change,high_low,volume,marketcap
HTR/Hathor,0.38323,+0.87 %,0.40918/0.37321,"1,327,647.78","$19,161,500"
ALICE/ ALICE ,5.888,-0.57 %,6.085/5.62,"1,327,025.74","$135,424,000"
CHR/ Chromia ,0.3795,-1.88 %,0.3938/0.3619,"1,324,835.02","$215,316,702"
BTT/ BitTorrent ,0.00000177,-0.44 %,0.000001801/0.000001738,"1,300,298.69","$1,752,300"
MLN/ Enzyme ,51.43,+3.85 %,51.97/49.07,"1,289,116.06","$107,658,008"
VOXEL/ Voxies ,1.2677,-1.13 %,1.3101/1.2488,"1,268,121.18","$63,638,540"
REF/Ref Finance,2.922,-7.23 %,3.252/2.65,"1,260,205.11","$32,091,242"
SRM/ Serum ,2.1294,-0.06 %,2.178/2.0647,"1,254,246.82","$283,703,754"
CVX/Convex Finance,27.196,+9.49 %,27.645/24.152,"1,247,240.04","$1,172,393,697"
DIA/ DIA ,0.807,-0.37 %,0.825/0.793,"1,228,792.20","$48,480,427"
NYM/ NYM ,1.0843,-1.23 %,1.1764/1.01498,"1,222,284.75","$68,853,050"
ORB/Klaycity,0.248798,+12.50 %,0.251288/0.199049,"1,217,403.92","$9,951,920"
KLAY/ Klaytn ,0.8306,-3.97 %,0.8693/0.8225,"1,217,185.41","$2,311,856,056"
SPELL/ Spell Token ,0.0037312,-0.08 %,0.0038651/0.0035926,"1,212,340.45","$263,539,280"
UST/TerraUSD,1.0004,+0.05 %,1.0316/0.9996,"1,202,226.18","$2,843,762,135"
AUDIO/ Audius ,1.0636,-1.76 %,1.1323/1.0226,"1,157,673.60","$647,011,271"
REI/REI Network,0.13206,+5.12 %,0.13436/0.123,"1,084,095.94",$-
KINE/Kine Protocol,0.265,-0.37 %,0.275/0.256,"1,069,802.23","$3,484,750"
DOSE/DOSE,0.141314,-0.10 %,0.155678/0.135088,"1,065,357.07","$4,757,572"
BSW/ Biswap ,1.20649,+11.92 %,1.3566/1.05677,"1,055,052.18","$230,666,316"
XDC/XDC Network,0.05327,-0.57 %,0.0546/0.05264,"1,037,971.38",$-
XPR/ Proton ,0.008352,-1.64 %,0.00886/0.008322,"1,026,083.93","$19,476,297"
MIR/ Mirror Protocol ,1.204,+1.51 %,1.232/1.156,"1,016,552.20","$68,230,013"
FRONT/ Frontier ,0.4527,-2.37 %,0.4647/0.4479,"1,008,344.53","$38,202,221"
WOO/ Wootrade ,0.42107,+1.40 %,0.43128/0.40047,"992,805.80","$241,804,726"
KNC/ Kyber ,5.3719,-1.64 %,5.57/5.0892,"972,541.90","$955,174,047"
RDN/Raiden,0.2476,+76.47 %,0.3133/0.1324,"965,443.66","$16,538,177"
SOUL/Phantasma,0.65429,-0.74 %,0.70348/0.65175,"950,137.26","$26,565,253"
AE/ Aeternity ,0.0993,-1.87 %,0.1021/0.094,"947,976.06","$34,911,382"
BICO/ Biconomy ,1.17927,+2.97 %,1.18888/1.10502,"942,157.45","$77,124,258"
XEC/ eCash ,0.00008078,-0.62 %,0.00008235/0.00007725,"940,898.84","$1,519,923,332"
CSPR/ Casper ,0.0688,-2.54 %,0.0714/0.068,"914,698.40","$27,520,000"
EGS/ EdgeSwap ,0.043862,+0.86 %,0.046971/0.042425,"909,540.10","$2,486,975"
CERE/ Cere Network ,0.02025,-8.37 %,0.02223/0.02,"897,446.78",$-
CWAR/Cryowar Token,0.1587,-4.39 %,0.1688/0.1551,"884,837.88",$-
OVR/Ovr,1.4231,+2.76 %,1.549/1.3326,"880,199.16",$-
SXP/ Swipe ,1.1041,-0.60 %,1.1302/1.0506,"874,957.68","$531,872,802"
XWG/X World Games,0.02691,+2.85 %,0.03/0.025399,"866,746.95","$80,730,000"
REEF/ Reef Finance ,0.00811,-1.09 %,0.00843/0.0079,"853,369.91","$148,256,606"
ZEE/ ZeroSwap ,0.1045,-5.94 %,0.1262/0.0973,"850,952.18","$6,628,341"
CULT/Cult DAO,0.00001885,-0.54 %,0.000019575/0.000017215,"845,264.55","$76,246,111"
PERP/ Perpetual Protocol ,3.767,-6.24 %,4.035/3.611,"845,196.41","$280,547,325"
COMP/ Compound ,124.35,+1.74 %,126.81/118.8,"843,365.81","$835,013,981"
YGG/ YieldGuildGames ,1.7517,+2.43 %,1.7994/1.6554,"838,809.79","$154,149,600"
NFT/ APENFT ,0.000001543,+1.64 %,0.000001553/0.000001498,"835,993.98","$30,859,691"
DATA/ Streamr ,0.06772,+0.69 %,0.06849/0.0651,"811,008.29","$47,211,183"
TRVL/Dtravel,0.17012,+0.09 %,0.1818/0.16601,"808,105.19",$-
HEGIC/ Hegic ,0.0152,-2.56 %,0.0163/0.0147,"798,714.07","$4,655,414"
YFI/ YearnFinance ,17717.13,-0.59 %,18008.93/17291.28,"786,770.26","$649,102,492"
BABYDOGE/ Baby Doge Coin ,0.000000002102,-4.58 %,0.000000002204/0.00000000207,"770,805.66","$582,254,000"
OPUL/Opulous,0.381989,+1.01 %,0.4/0.368785,"768,976.49","$10,252,751"
KONO/ Konomi Network ,0.0911,-2.25 %,0.0954/0.09,"736,122.88","$828,149"
DYP/DeFi Yield,0.1189,-2.22 %,0.1247/0.1151,"728,207.90","$420,666"
REAP/ReapChain,0.07687,-0.76 %,0.07752/0.07618,"724,279.24",$-
CKB/ Nervos ,0.009857,-1.43 %,0.010142/0.0098,"723,112.87","$295,418,981"
SOLR/SolRazr,0.2401,+7.04 %,0.275/0.2221,"718,330.51","$1,200,500"
ANC/ Anchor Protocol ,1.911,+1.43 %,1.96/1.84,"706,622.10","$499,549,509"
ACH/ Alchemy Pay ,0.029389,+5.17 %,0.030813/0.027051,"683,960.77","$88,658,950"
TLM/ Alien Worlds ,0.0879,+0.80 %,0.0896/0.0833,"682,181.21","$80,343,270"
CVP/PowerPool,0.715,+3.17 %,0.734/0.693,"674,351.35","$4,197,050"
XYM/ Symbol ,0.1008,-0.68 %,0.1032/0.0999,"673,472.59","$562,711,968"
OOKI/ Ooki ,0.01193,+3.91 %,0.01232/0.01125,"658,319.98",$-
BRWL/Blockchain Brawlers,0.13642,+3.36 %,0.15334/0.12337,"653,906.77","$6,821,000"
MXC/ MXC ,0.10502,-0.23 %,0.10768/0.104,"643,025.30","$268,004,538"
